Action	Source IP	Destination IP	Protocol	Reason
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	140.82.113.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.153	192.168.0.255	17	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
